Index,Name,RADEG,DEDEG,CZ,LOGMSTAR
3844,ECO03869,195.775,3.9917,2790.41,9.13
2498,ECO02523,166.91099999999997,18.4535,2792.82,8.49
2929,ECO02954,136.812,38.9497,2793.16,8.79
6337,ECO06362,203.817,44.7613,2793.93,8.73
9538,ECO09563,208.104,39.5576,2798.55,9.25
1079,ECO01092,220.263,0.6208,2798.59,8.71
4162,ECO04187,203.743,45.78,2798.65,9.05
3920,ECO03945,141.067,49.2492,2800.87,10.17
9588,ECO09613,208.532,40.8171,2802.23,9.01
7500,ECO07525,133.589,23.1583,2803.43,8.95
6176,ECO06201,195.755,7.8522,2806.34,9.11
4915,ECO04940,230.49400000000003,41.1256,2808.23,8.95
4029,ECO04054,200.75400000000002,23.3067,2808.79,9.45
884,ECO00896,224.96,32.8033,2810.51,8.93
4393,ECO04418,209.988,38.2011,2811.26,9.57
4376,ECO04401,209.59599999999998,22.8881,2814.66,9.25
8873,ECO08898,157.445,13.0183,2815.73,9.35
8917,ECO08942,157.809,43.1378,2816.75,9.39
3898,ECO03923,141.013,49.2042,2818.46,9.99
1024,ECO01037,138.814,48.6657,2820.55,8.99
8503,ECO08528,172.842,25.500999999999998,2821.31,8.59
12356,ECO12388,193.55700000000002,8.3584,2821.95,8.73
4083,ECO04108,202.138,46.9275,2822.35,9.21
1023,ECO01036,138.715,48.5939,2823.17,8.57
7989,ECO08014,175.942,13.7075,2825.93,8.95
6568,ECO06593,234.359,45.0182,2833.12,8.95
4377,ECO04402,209.60299999999998,22.9272,2834.28,8.87
6389,ECO06414,207.44,39.7142,2837.61,9.19
11797,ECO11829,169.25400000000002,13.0994,2838.71,9.27
4391,ECO04416,209.96099999999998,38.1831,2839.97,10.53
5914,ECO05939,146.704,9.7361,2845.53,9.85
4208,ECO04233,204.763,43.5664,2845.7,9.75
11812,ECO11844,172.845,23.1152,2845.85,8.81
5021,ECO05046,236.628,45.9986,2847.43,8.59
1249,ECO01270,155.861,12.8155,2848.4,8.97
867,ECO00879,217.393,40.8915,2852.77,8.33
9964,ECO09989,162.235,14.22,2853.1,9.25
2429,ECO02454,136.36,25.5506,2856.36,8.89
10434,ECO10460,176.517,11.5813,2859.21,9.07
4754,ECO04779,219.56799999999998,40.4567,2864.69,9.73
11097,ECO11125,166.605,17.5081,2865.68,9.69
10772,ECO10798,165.46200000000002,16.6069,2869.31,9.15
9114,ECO09139,159.089,13.7117,2872.32,10.01
7131,ECO07156,150.765,10.7458,2875.22,8.99
247,ECO00249,157.474,20.8016,2880.44,8.65
1022,ECO01035,137.269,20.5812,2881.07,8.35
11855,ECO11887,209.731,21.9885,2881.91,8.81
664,ECO00671,209.356,21.3894,2884.85,8.65
1008,ECO01020,217.46200000000002,44.4477,2885.87,8.71
4485,ECO04510,143.512,9.4792,2888.48,9.73
9004,ECO09029,158.583,13.7536,2892.63,9.91
1084,ECO01097,233.82299999999998,9.4467,2892.73,8.33
9449,ECO09474,220.795,38.3458,2892.82,8.89
9136,ECO09161,159.16,14.1711,2898.11,10.65
3613,ECO03638,139.583,17.7533,2898.29,8.81
219,ECO00221,231.053,11.6939,2900.62,8.25
1034,ECO01047,159.469,13.7208,2900.83,8.29
3030,ECO03055,176.44,10.8247,2906.84,10.71
